"ID","MC_SCIMAT","Assig2_10p","Assig1_Report_6p","Assig1_Comp_4p","total_assig_20","Exam_80","Final","Proj_alloc","Total_100","Q1_p2","Q2_p2","Q3_p2","Q4_p2","Q5_p2","Q6_p6_t","Q6_p2_A","Q6_p2_B","Q6_p2_C","Q7_p5_t","Q7_p3_A","Q7_p2_B","Q8_p6_t","Q8_p1_A","Q8_p1_B","Q8_p2_C","Q8_p2_D","Q10_p10_t","Q10_p3_A","Q10_p7_B","Q15_p8_t","Q15_p4_A","Q15_p4_B","Q16_p4_t","Q16_p2_A","Q16_p2_B","TotalNotComp_51","TotalComp_49","ClassQ_12","RegQ_26","ClassRegQ_11","ptq_class","ptq_reg","ptq_class_reg","ptq_noncompq","pte_class","pte_reg","pte_class_reg","pte_noncompq","ptq_class_Q1","ptq_class_Q10","ptq_reg_Q5","ptq_reg_Q6","ptq_reg_Q8","ptq_reg_Q15","ptq_reg_Q16","ptq_classreg_Q2","ptq_classreg_Q3","ptq_classreg_Q4","ptq_classreg_Q7","pte_class_Q1","pte_class_Q10","pte_reg_Q5","pte_reg_Q6","pte_reg_Q8","pte_reg_Q15","pte_reg_Q16","pte_classreg_Q2","pte_classreg_Q3","pte_classreg_Q4","pte_classreg_Q7","TeamName","numsub","PrivetScore"
8351,1,0,3.5,3,6.5,63.5,57.3,"Melbourne Price",63.5,2,0,2,0,0,3.5,1,1.5,1,4,2,2,2,1,1,0,0,7,0,7,7,3,4,2,2,0,34,29.5,9,14.5,6,0.75,0.557692307692308,0.545454545454545,0.666666666666667,0.141732283464567,0.228346456692913,0.094488188976378,0.535433070866142,1,0.7,1,0.583333333333333,0.333333333333333,0.875,0.5,0,1,0,0.8,0.031496062992126,0.110236220472441,0.031496062992126,0.0551181102362205,0.031496062992126,0.110236220472441,0.031496062992126,0,0.031496062992126,0,0.062992125984252,"AnnaHou",6,118357.1925
8352,1,6.9,4.5,2.2,13.6,63,64,"Melbourne Price",63,0,0,2,0,2,4.5,1,2,1.5,3.5,1.5,2,4,1,1,0,2,6,3,3,8,4,4,4,2,2,29,34,6,22.5,5.5,0.5,0.865384615384615,0.5,0.568627450980392,0.0952380952380952,0.357142857142857,0.0873015873015873,0.46031746031746,0,0.6,0,0.75,0.666666666666667,1,1,0,1,0,0.7,0,0.0952380952380952,0,0.0714285714285714,0.0634920634920635,0.126984126984127,0.0634920634920635,0,0.0317460317460317,0,0.0555555555555556,"Lucy",5,151935.18895
8353,1,8.3,3,2.1,13.4,70.5,69.8,"Melbourne Price",70.5,0,0,2,0,2,4.5,1.5,2,1,3,2,1,4,1,1,1,1,10,3,7,8,4,4,3.5,2,1.5,33.5,37,10,22,5,0.833333333333333,0.846153846153846,0.454545454545455,0.656862745098039,0.141843971631206,0.312056737588652,0.0709219858156028,0.475177304964539,0,1,0,0.75,0.666666666666667,1,0.875,0,1,0,0.6,0,0.141843971631206,0,0.0638297872340425,0.0567375886524823,0.113475177304965,0.049645390070922,0,0.0283687943262411,0,0.0425531914893617,"hongliang",4,162629.22408
8354,1,0.3,3.5,3.5,7.3,45,43.3,"Spam classification",45,0,2,0,0,2,2,0,0,2,4.5,3,1.5,3,1,1,0,1,6,0,6,6,4,2,4,2,2,15.5,29.5,6,17,6.5,0.5,0.653846153846154,0.590909090909091,0.303921568627451,0.133333333333333,0.377777777777778,0.144444444444444,0.344444444444444,0,0.6,0,0.333333333333333,0.5,0.75,1,1,0,0,0.9,0,0.133333333333333,0,0.0444444444444444,0.0666666666666667,0.133333333333333,0.0888888888888889,0.0444444444444444,0,0,0.1,"Aoyu Wang",2,91
8355,1,0.3,3,3.5,6.8,20,22.8,"Spam classification",20,0,2,0,0,1,0,0,0,0,4,2,2,2,1,1,0,0,1,0,1,4,4,0,0,0,0,6,14,1,7,6,0.0833333333333333,0.269230769230769,0.545454545454545,0.117647058823529,0.05,0.35,0.3,0.3,0,0.1,0,0,0.333333333333333,0.5,0,1,0,0,0.8,0,0.05,0,0,0.1,0.2,0,0.1,0,0,0.2,"Qingqing Jian",3,91
8356,1,5.6,2.5,2,10.1,36,38.9,"Melbourne Price",35,0,2,0,0,2,1,1,0,0,1.5,1.5,0,3,1,1,0,1,3,2,1,4,4,0,1,1,0,17.5,17.5,3,11,3.5,0.25,0.423076923076923,0.318181818181818,0.343137254901961,0.0857142857142857,0.314285714285714,0.1,0.5,0,0.3,0,0.166666666666667,0.5,0.5,0.25,1,0,0,0.3,0,0.0857142857142857,0,0.0285714285714286,0.0857142857142857,0.114285714285714,0.0285714285714286,0.0571428571428571,0,0,0.0428571428571429,"Youxin Tan",2,165394.87216
8357,1,6.9,4,2,12.9,45,48.9,"Melbourne Price",45,0,2,0,0,2,3.5,1,1.5,1,4,2,2,4,1,1,1,1,3,0,3,8,4,4,1,1,0,17.5,27.5,3,18.5,6,0.25,0.711538461538462,0.545454545454545,0.343137254901961,0.0666666666666667,0.411111111111111,0.133333333333333,0.388888888888889,0,0.3,0,0.583333333333333,0.666666666666667,1,0.25,1,0,0,0.8,0,0.0666666666666667,0,0.0777777777777778,0.0888888888888889,0.177777777777778,0.0222222222222222,0.0444444444444444,0,0,0.0888888888888889,"Byran",4,165830.49819
8358,0,10,5.5,2.6,18.1,78,80.5,"Melbourne Price",78,0,2,2,0,2,4.5,1.5,2,1,4,2,2,3,1,1,0,1,7,0,7,8,4,4,4,2,2,41.5,36.5,7,21.5,8,0.583333333333333,0.826923076923077,0.727272727272727,0.813725490196078,0.0897435897435897,0.275641025641026,0.102564102564103,0.532051282051282,0,0.7,0,0.75,0.5,1,1,1,1,0,0.8,0,0.0897435897435897,0,0.0576923076923077,0.0384615384615385,0.102564102564103,0.0512820512820513,0.0256410256410256,0.0256410256410256,0,0.0512820512820513,"Bendik Samseth",4,135701.54944
8359,1,7.1,0.5,2.9,10.5,57,56.1,"Spam classification",57,2,0,0,0,2,3.5,1.5,2,0,2,1,1,3,1,1,0,1,8,3,5,8,4,4,1.5,1,0.5,27,30,10,18,2,0.833333333333333,0.692307692307692,0.181818181818182,0.529411764705882,0.175438596491228,0.315789473684211,0.0350877192982456,0.473684210526316,1,0.8,1,0.583333333333333,0.5,1,0.375,0,0,0,0.4,0.0350877192982456,0.140350877192982,0.0350877192982456,0.0614035087719298,0.0526315789473684,0.140350877192982,0.0263157894736842,0,0,0,0.0350877192982456,"Xiangjun Li",2,89
8360,1,8.6,3.5,2.9,15,30.5,39.4,"Spam classification",30.5,2,0,0,0,2,0,0,0,0,4,3,1,2,1,1,0,0,2,0,2,8,4,4,0,0,0,10.5,20,4,12,4,0.333333333333333,0.461538461538462,0.363636363636364,0.205882352941176,0.131147540983607,0.39344262295082,0.131147540983607,0.344262295081967,1,0.2,1,0,0.333333333333333,1,0,0,0,0,0.8,0.0655737704918033,0.0655737704918033,0.0655737704918033,0,0.0655737704918033,0.262295081967213,0,0,0,0,0.131147540983607,"rnurfajrini",1,89
8361,0,4.5,0,0,4.5,57,50.1,"Spam classification",57,2,2,2,0,0,6,2,2,2,1,1,0,3,0,1,0,2,10,3,7,8,4,4,0,0,0,23,34,12,17,5,1,0.653846153846154,0.454545454545455,0.450980392156863,0.210526315789474,0.298245614035088,0.087719298245614,0.403508771929825,1,1,1,1,0.5,1,0,1,1,0,0.2,0.0350877192982456,0.175438596491228,0.0350877192982456,0.105263157894737,0.0526315789473684,0.140350877192982,0,0.0350877192982456,0.0350877192982456,0,0.0175438596491228,NA,NA,NA
